RA,Ano,Nome,Fase,Turma,Genero,Ano_ingresso,Instituicao,Idade,Pedra,INDE,IAA,IEG,IPS,IPP,IDA,IPV,IAN,Defasagem,Mat,Por,Ing,Atingiu_PV,Indicado_bolsa,Fase_ideal,Tempo_PM,Em_defasagem
RA-1,2022,Aluno-1,7,A,Menina,2016,Escola Pública,19.0,Quartzo,5.783,8.3,4.1,5.6,,4.0,7.278,5.0,-1,2.7,3.5,6.0,Não,Sim,Fase 8 (Universitários),6.0,1
RA-2,2022,Aluno-2,7,A,Menina,2017,Rede Decisão,17.0,Ametista,7.055,8.8,5.2,6.3,,6.8,6.778,10.0,0,6.3,4.5,9.7,Não,Não,Fase 7 (3º EM),5.0,0
RA-3,2022,Aluno-3,7,A,Menina,2016,Rede Decisão,17.0,Ágata,6.591,0.0,7.9,5.6,,5.6,7.556,10.0,0,5.8,4.0,6.9,Não,Não,Fase 7 (3º EM),6.0,0
RA-4,2022,Aluno-4,7,A,Menino,2017,Rede Decisão,17.0,Quartzo,5.951,8.8,4.5,5.6,,5.0,5.278,10.0,0,2.8,3.5,8.7,Não,Não,Fase 7 (3º EM),5.0,0
RA-5,2022,Aluno-5,7,A,Menina,2016,Rede Decisão,17.0,Ametista,7.427,7.9,8.6,5.6,,5.2,7.389,10.0,0,7.0,2.9,5.7,Não,Não,Fase 7 (3º EM),6.0,0
RA-6,2022,Aluno-6,7,A,Menina,2021,Escola Pública,18.0,Quartzo,5.848,7.9,4.5,7.5,,3.3,7.222,5.0,-1,2.3,5.3,2.3,Não,Sim,Fase 8 (Universitários),1.0,1
RA-7,2022,Aluno-7,7,A,Menino,2017,Rede Decisão,18.0,Ágata,6.818,0.0,8.4,7.5,,7.6,7.667,5.0,-1,8.2,5.7,9.0,Não,Não,Fase 8 (Universitários),5.0,1
RA-8,2022,Aluno-8,7,A,Menina,2018,Escola Pública,20.0,Quartzo,4.786,7.1,4.6,6.3,,1.6,6.278,5.0,-1,1.2,0.7,2.9,Não,Não,Fase 8 (Universitários),4.0,1
RA-9,2022,Aluno-9,7,A,Menina,2019,Escola Pública,18.0,Topázio,8.109,8.8,9.5,7.5,,6.7,9.5,5.0,-1,5.5,6.0,8.7,Sim,Sim,Fase 8 (Universitários),3.0,1
RA-10,2022,Aluno-10,7,A,Menina,2021,Escola Pública,18.0,Quartzo,5.784,8.3,5.2,5.0,,4.1,7.056,5.0,-1,3.3,2.6,6.4,Não,Não,Fase 8 (Universitários),1.0,1
RA-11,2022,Aluno-11,7,A,Menina,2016,Escola Pública,18.0,Quartzo,5.323,9.2,4.2,5.0,,3.0,6.389,5.0,-1,1.8,2.5,4.5,Não,Não,Fase 8 (Universitários),6.0,1
RA-12,2022,Aluno-12,7,A,Menina,2020,Escola Pública,17.0,Quartzo,4.832,0.0,4.0,6.9,,1.5,6.389,10.0,0,2.7,1.1,0.7,Não,Sim,Fase 7 (3º EM),2.0,0
RA-13,2022,Aluno-13,7,A,Menino,2016,Escola Pública,18.0,Ágata,6.902,7.9,7.4,7.5,,4.7,8.056,5.0,-1,3.5,5.5,5.2,Não,Sim,Fase 8 (Universitários),6.0,1
RA-14,2022,Aluno-14,7,D,Menino,2022,Escola Pública,21.0,Ágata,6.793,7.9,8.3,7.5,,4.0,7.75,5.0,-1,8.0,0.0,,Não,Sim,Fase 8 (Universitários),0.0,1
RA-15,2022,Aluno-15,7,D,Menino,2022,Escola Pública,18.0,Ametista,7.783,8.8,10.0,7.5,,7.3,7.292,5.0,-1,8.0,6.5,,Não,Sim,Fase 8 (Universitários),0.0,1
RA-16,2022,Aluno-16,7,D,Menino,2022,Escola Pública,19.0,Ágata,6.112,7.9,8.3,5.0,,3.5,6.333,5.0,-1,7.0,0.0,,Não,Sim,Fase 8 (Universitários),0.0,1
RA-17,2022,Aluno-17,7,D,Menino,2022,Escola Pública,20.0,Topázio,8.068,8.8,10.0,7.5,,7.8,8.292,5.0,-1,9.0,6.5,,Não,Sim,Fase 8 (Universitários),0.0,1
RA-18,2022,Aluno-18,7,D,Menino,2022,Escola Pública,19.0,Ametista,7.226,6.3,8.7,6.3,,9.0,6.875,5.0,-1,9.0,9.0,,Não,Sim,Fase 8 (Universitários),0.0,1
RA-19,2022,Aluno-19,7,D,Menina,2022,Escola Pública,19.0,Ametista,7.665,7.9,9.5,7.5,,8.0,7.0,5.0,-1,7.0,9.0,,Não,Sim,Fase 8 (Universitários),0.0,1
RA-20,2022,Aluno-20,7,D,Menina,2022,Escola Pública,19.0,Ametista,7.535,7.1,10.0,6.3,,7.8,7.167,5.0,-1,9.0,6.5,,Não,Sim,Fase 8 (Universitários),0.0,1
RA-21,2022,Aluno-21,7,D,Menino,2022,Escola Pública,18.0,Ágata,6.945,9.6,9.2,7.5,,3.8,7.25,5.0,-1,7.0,0.5,,Não,Sim,Fase 8 (Universitários),0.0,1
RA-22,2022,Aluno-22,6,A,Menina,2019,Rede Decisão,17.0,Ametista,7.474,8.3,7.4,8.1,,6.7,8.833,5.0,-1,9.0,3.1,7.8,Sim,Não,Fase 7 (3º EM),3.0,1
RA-23,2022,Aluno-23,6,A,Menino,2021,Escola Pública,17.0,Ametista,7.677,8.3,8.2,8.1,,6.7,8.556,5.0,-1,7.2,4.7,8.2,Sim,Sim,Fase 7 (3º EM),1.0,1
RA-24,2022,Aluno-24,6,A,Menina,2021,Rede Decisão,17.0,Topázio,8.087,9.2,7.9,6.9,,8.6,9.111,5.0,-1,10.0,6.3,9.7,Sim,Não,Fase 7 (3º EM),1.0,1
RA-25,2022,Aluno-25,6,A,Menina,2021,Escola Pública,17.0,Ametista,7.979,8.3,8.3,8.8,,6.9,9.667,5.0,-1,9.2,3.8,7.7,Sim,Sim,Fase 7 (3º EM),1.0,1
